lat	lon	area%
38.90625	-121.03125	0.088662
38.90625	-120.96875	0.001014
38.96875	-121.03125	0.355935
38.96875	-120.96875	2.250683
38.96875	-120.90625	0.179983
39.03125	-120.96875	2.602126
39.03125	-120.90625	4.121044
39.03125	-120.84375	3.340218
39.03125	-120.78125	1.117864
39.09375	-120.96875	1.578659
39.09375	-120.90625	4.249087
39.09375	-120.84375	4.249087
39.09375	-120.78125	4.234010
39.09375	-120.71875	1.355443
39.15625	-120.96875	0.000844
39.15625	-120.90625	1.285122
39.15625	-120.84375	3.850668
39.15625	-120.78125	4.245319
39.15625	-120.71875	3.974117
39.15625	-120.65625	1.427349
39.15625	-120.59375	0.125694
39.15625	-120.53125	0.507215
39.15625	-120.46875	1.163737
39.15625	-120.40625	0.003313
39.21875	-120.84375	0.265489
39.21875	-120.78125	2.658674
39.21875	-120.71875	4.241545
39.21875	-120.65625	4.241545
39.21875	-120.59375	4.048609
39.21875	-120.53125	4.165021
39.21875	-120.46875	4.241545
39.21875	-120.40625	3.250214
39.21875	-120.34375	2.220692
39.21875	-120.28125	2.067489
39.28125	-120.78125	0.000729
39.28125	-120.71875	1.371373
39.28125	-120.65625	3.675649
39.28125	-120.59375	4.159630
39.28125	-120.53125	2.893254
39.28125	-120.46875	2.734194
39.28125	-120.40625	3.635780
39.28125	-120.34375	3.069665
39.28125	-120.28125	0.435499
39.34375	-120.65625	0.013936
39.34375	-120.59375	0.291023
39.34375	-120.40625	0.011250
