lat	lon	area%
39.43750	-121.43750	0.001764
39.43750	-121.31250	0.072777
39.43750	-120.43750	0.001558
39.43750	-120.31250	0.005124
39.56250	-121.56250	0.088640
39.56250	-121.43750	1.359096
39.56250	-121.31250	1.472399
39.56250	-121.18750	1.220403
39.56250	-121.06250	0.269294
39.56250	-120.43750	1.045731
39.56250	-120.31250	1.518132
39.56250	-120.18750	1.052567
39.56250	-120.06250	0.100713
39.68750	-121.56250	0.769900
39.68750	-121.43750	1.587021
39.68750	-121.31250	1.587021
39.68750	-121.18750	1.587021
39.68750	-121.06250	1.403862
39.68750	-120.93750	0.284071
39.68750	-120.81250	0.220515
39.68750	-120.68750	0.829212
39.68750	-120.56250	1.011325
39.68750	-120.43750	1.572453
39.68750	-120.31250	1.587021
39.68750	-120.18750	1.420362
39.68750	-120.06250	0.001294
39.81250	-121.56250	0.922370
39.81250	-121.43750	1.584144
39.81250	-121.31250	1.584144
39.81250	-121.18750	1.584144
39.81250	-121.06250	1.584144
39.81250	-120.93750	1.527499
39.81250	-120.81250	1.528359
39.81250	-120.68750	1.584144
39.81250	-120.56250	1.584144
39.81250	-120.43750	1.584144
39.81250	-120.31250	1.584144
39.81250	-120.18750	1.584129
39.81250	-120.06250	0.193046
39.93750	-121.56250	0.735480
39.93750	-121.43750	1.581259
39.93750	-121.31250	1.581259
39.93750	-121.18750	1.581259
39.93750	-121.06250	1.581259
39.93750	-120.93750	1.581259
39.93750	-120.81250	1.581259
39.93750	-120.68750	1.581259
39.93750	-120.56250	1.581259
39.93750	-120.43750	1.581259
39.93750	-120.31250	1.581259
39.93750	-120.18750	1.413869
39.93750	-120.06250	0.124573
40.06250	-121.56250	0.147042
40.06250	-121.43750	0.907381
40.06250	-121.31250	1.569126
40.06250	-121.18750	1.578367
40.06250	-121.06250	1.578367
40.06250	-120.93750	1.578367
40.06250	-120.81250	1.578367
40.06250	-120.68750	1.578367
40.06250	-120.56250	1.578367
40.06250	-120.43750	1.578367
40.06250	-120.31250	1.451272
40.06250	-120.18750	0.390006
40.18750	-121.43750	0.398774
40.18750	-121.31250	1.532705
40.18750	-121.18750	1.575468
40.18750	-121.06250	1.575468
40.18750	-120.93750	1.575468
40.18750	-120.81250	1.575468
40.18750	-120.68750	1.575468
40.18750	-120.56250	1.556828
40.18750	-120.43750	0.680800
40.18750	-120.31250	0.005651
40.31250	-121.43750	0.297653
40.31250	-121.31250	1.415368
40.31250	-121.18750	1.572561
40.31250	-121.06250	1.572561
40.31250	-120.93750	1.572561
40.31250	-120.81250	0.694464
40.31250	-120.68750	0.708904
40.31250	-120.56250	0.225487
40.43750	-121.56250	0.005781
40.43750	-121.43750	1.230727
40.43750	-121.31250	1.171461
40.43750	-121.18750	1.489926
40.43750	-121.06250	1.315746
40.43750	-120.93750	0.365647
40.43750	-120.81250	0.000667
40.56250	-121.18750	0.045755
40.56250	-121.06250	0.164893
